NATION,GAMES WON,RIOT,BANDS,POWERBALLS,UN,CHEERS 1,CHEERS 2,MISC,PRE-CALC,TOTAL,RANK
USA,2,1335,445,8,,,,325,2670,3282.516667,4
Israel,2,1220,446,21,,5,,983,3410,4124.602778,1
North Korea,1,640,275,7,,,,0,1295,1601.258333,15
Malawi,0,940,250,0,,,,50,1490,1490,17
Saudi Arabia,1,910,250,8,,,,239,1769,2075.258333,14
Albania,0,800,250,7,,,,50,1455,1455,18
Turkey,2,1020,302,6,,,,49,1763,2375.516667,13
UAE,2,660,387,3,,2,,110,1589,2609.861111,9
Thailand,3,960,420,19,,,,480,2565,3483.775,3
Ireland,0,700,381,3,,,,0,1507,1507,16
Kenya,2,1340,400,12,,3,5,390,2710,3730.861111,2
Batwa Tribe,2,1005,312,10,,4,,230,2009,2825.688889,6
Burundi,1,"1,200",259,9,,,,430,"2,283","2,589",10
Bahamas,2,1260,306,9,,,,340,2347,2959.516667,5
Bolivia,2,1240,338,4,,,,130,2106,2718.516667,7
Uruguay,1,900,281,6,,1,,194,1746,2562.688889,12
Vietnam,2,640,260,5,,,,850,2085,2697.516667,8
Russia,2,1150,291,9,,,,85,1952,2564.516667,11
